,상품명,url,가격,성별,대분류 이름,중분류 이름,대분류 번호,중분류 번호
0,우먼즈 캐시미어 블렌드 발마칸 로브 코트 [블랙],https://www.musinsa.com/app/goods/2700048,209900,"
여
",아우터,겨울싱글코트,002,002007
1,[힛탠다드] 우먼즈 타이즈_이너 웨어 [블랙],https://www.musinsa.com/app/goods/1595693,13900,"
여
",속옷,홈웨어,026,026005
2,우먼즈 릴렉스드 라운지 스웨트 팬츠 [미디엄 그레이],https://www.musinsa.com/app/goods/2392465,33900,"
여
",바지,트레이닝/조거팬츠,003,003004
3,우먼즈 릴렉스드 스웨트 팬츠 [미디엄 그레이],https://www.musinsa.com/app/goods/2392472,33900,"
여
",바지,트레이닝/조거팬츠,003,003004
4,크루 삭스 7팩 [아이보리],https://www.musinsa.com/app/goods/1094833,22900,"
남
여
",양말/레그웨어,양말,008,008001
5,코튼 와이드 벌룬 팬츠 [크림],https://www.musinsa.com/app/goods/2069532,49900,"
남
",바지,코튼팬츠,003,003007
6,슬림 크롭 데님 팬츠 [라이트 인디고],https://www.musinsa.com/app/goods/1321881,49900,"
남
",바지,데님팬츠,003,003002
7,[쿨탠다드] 베이식 크루 넥 반팔 티셔츠 [화이트],https://www.musinsa.com/app/goods/2341451,17900,"
남
",상의,반소매티셔츠,001,001001
8,우먼즈 릴렉스드 라운지 스웨트 팬츠 [블랙],https://www.musinsa.com/app/goods/2392464,33900,"
여
",바지,트레이닝/조거팬츠,003,003004
9,유틸리티 쇼츠 [네이비],https://www.musinsa.com/app/goods/763135,23900,"
남
",바지,숏팬츠,003,003009
10,[힛탠다드 이벤트] [힛탠다드] 맨즈 크루 넥 티셔츠_이너...,https://www.musinsa.com/app/goods/1639756,13900,"
남
",속옷,홈웨어,026,026005
11,베이식 긴팔 티셔츠 [피콕 블루],https://www.musinsa.com/app/goods/1145012,18900,"
남
",상의,긴소매티셔츠,001,001010
12,[쿨탠다드] 크루 넥 긴팔 티셔츠 2팩,https://www.musinsa.com/app/goods/2818019,43800,"
남
",상의,긴소매티셔츠,001,001010
13,다운 푸퍼 숏 패딩 재킷 [블랙],https://www.musinsa.com/app/goods/912314,119900,"
남
",아우터,숏패딩/숏헤비아우터,002,002012
14,세미 와이드 히든 밴딩 슬랙스 [브라운],https://www.musinsa.com/app/goods/1669799,39900,"
남
",바지,슈트팬츠/슬랙스,003,003008
15,미들 삭스 7팩 [화이트],https://www.musinsa.com/app/goods/1092994,22900,"
남
여
",양말/레그웨어,양말,008,008001
